antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
salud_general_mala,"dificultad_caminar, mala_salud_fisica_15_30_dias",0.04762298959318827,0.07536660359508042,0.030585777357300534,0.6422481582650442,8.521654521087735,1.0,0.026996594378618073,2.5845664187801556,0.9267883269667124,0.33100123714858576,0.6130879080012296,0.5240374114197757
"dificultad_caminar, salud_general_mala",mala_salud_fisica_15_30_dias,0.03571822768842636,0.12248896247240618,0.030585777357300534,0.856307250855314,6.990893167604546,1.0,0.026210688706392017,6.10685676730993,0.8886995336020811,0.23966023166023165,0.8362496390364007,0.5530047823806387
salud_general_mala,mala_salud_fisica_15_30_dias,0.04762298959318827,0.12248896247240618,0.03877325764742983,0.814171012333416,6.646892878342644,1.0,0.032939967062326006,4.722142915087241,0.8920351467114078,0.29521579926766317,0.7882317375857048,0.5653579613528825
"mala_salud_fisica_15_30_dias, salud_general_mala",dificultad_caminar,0.03877325764742983,0.16822374645222327,0.030585777357300534,0.7888369255795039,4.689212683796335,1.0,0.02406319469369257,3.939023220941711,0.8184797089755433,0.1733777261351448,0.7461299555982491,0.48532648856596755
salud_general_mala,dificultad_caminar,0.04762298959318827,0.16822374645222327,0.03571822768842636,0.7500206936511878,4.458470991574302,1.0,0.02770690996180499,3.32738043679162,0.8144966242203834,0.19829302987197722,0.6994632808010869,0.4811732056422313
"fuma, hipertension, mala_salud_fisica_15_30_dias",dificultad_caminar,0.04569930621255124,0.16822374645222327,0.03194575843582466,0.6990425256620374,4.1554331086103256,1.0,0.024258049934481926,2.7637667261047216,0.7957148127354263,0.1755480460965254,0.6381749622518218,0.4444714678690972
"colesterol_alto, hipertension, mala_salud_fisica_15_30_dias",dificultad_caminar,0.05169504888047934,0.16822374645222327,0.03577341532639546,0.6920085404910783,4.113619837182818,1.0,0.02707708053069042,2.700647137664161,0.798166349153302,0.19426724322472924,0.6297183789567865,0.45233115952497677
"hipertension, mala_salud_fisica_15_30_dias",dificultad_caminar,0.07627719962157048,0.16822374645222327,0.051458530432040364,0.6746253229974161,4.01028592707638,1.0,0.03862689414281567,2.556364438714975,0.8126260618934806,0.26656592677298807,0.6088194684390631,0.4902593515982979
"consume_verduras, hipertension, mala_salud_fisica_15_30_dias",dificultad_caminar,0.056043046357615894,0.16822374645222327,0.037097918637653736,0.66195399873391,3.9349616965159533,1.0,0.027670147416779964,2.4605416139593714,0.7901503530311009,0.19820559802868518,0.5935854145580356,0.44124061975359824
"colesterol_alto, mala_salud_fisica_15_30_dias",dificultad_caminar,0.06984783979817093,0.16822374645222327,0.04588457899716178,0.6569219481912072,3.9050488533601744,1.0,0.03413451370471876,2.424451955356647,0.7997844753481671,0.23874964105509291,0.5875356499473731,0.4648405874523699
"fuma, mala_salud_fisica_15_30_dias",dificultad_caminar,0.07222485020498265,0.16822374645222327,0.04707111321349732,0.6517301604628316,3.8741864582591945,1.0,0.034921178325064514,2.388309750431338,0.7996347961882592,0.24341568819308548,0.5812938418815247,0.4657713485383871
